"TIME","PARTNER","UNIT","NACE_R2","GEO","Value","Flag and Footnotes"
"2011","Asia","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","216,089",""
"2011","Asia","Number","Hotels and similar accommodation","Croatia","418,834",""
"2011","Asia","Number","Hotels and similar accommodation","Slovenia","199,142",""
"2011","Asia","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2011","Asia","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2011","All countries of the world","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","39,250,790",""
"2011","All countries of the world","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","8,860,328",""
"2011","All countries of the world","Number","Hotels and similar accommodation","Croatia","20,466,922",""
"2011","All countries of the world","Number","Hotels and similar accommodation","Slovenia","6,184,598",""
"2011","All countries of the world","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia",":",""
"2011","All countries of the world","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia",":",""
"2012","Europe","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","60,495,563","b"
"2012","Europe","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Slovenia","8,875,593","b"
"2012","Europe","Number","Hotels and similar accommodation","Croatia","19,935,009","b"
"2012","Europe","Number","Hotels and similar accommodation","Slovenia","5,756,785",""
"2012","Europe","Number","Camping grounds, recreational vehicle parks and trailer parks","Croatia","16,182,608","b"
"2012","Europe","Number","Camping grounds, recreational vehicle parks and trailer parks","Slovenia","1,287,503","b"
"2012","Germany (until 1990 former territory of the FRG)","Number","Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks","Croatia","13,874,984","b"
