"TIME","PARTNER","UNIT","PURPOSE","DURATION","GEO","Value","Flag and Footnotes"
"2010","All countries of the world","Number","Professional, business","1 night or over","Slovenia",":",""
"2010","All countries of the world","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2010","All countries of the world","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2010","All countries of the world","Number","Professional, business","4 nights or over","Croatia",":",""
"2010","All countries of the world","Number","Professional, business","4 nights or over","Slovenia",":",""
"2011","Europe","Number","Total","1 night or over","Croatia",":",""
"2011","Europe","Number","Total","1 night or over","Slovenia",":",""
"2011","Europe","Number","Total","From 1 to 3 nights","Croatia",":",""
"2011","Europe","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2011","Europe","Number","Total","4 nights or over","Croatia",":",""
"2011","Europe","Number","Total","4 nights or over","Slovenia",":",""
"2011","Europe","Number","Personal reasons","1 night or over","Croatia",":",""
"2011","Europe","Number","Personal reasons","1 night or over","Slovenia",":",""
"2011","Europe","Number","Personal reasons","From 1 to 3 nights","Croatia",":",""
"2011","Europe","Number","Personal reasons","From 1 to 3 nights","Slovenia",":",""
"2011","Europe","Number","Personal reasons","4 nights or over","Croatia",":",""
"2011","Europe","Number","Personal reasons","4 nights or over","Slovenia",":",""
"2011","Europe","Number","Professional, business","1 night or over","Croatia",":",""
"2011","Europe","Number","Professional, business","1 night or over","Slovenia",":",""
"2011","Europe","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2011","Europe","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2011","Europe","Number","Professional, business","4 nights or over","Croatia",":",""
"2011","Europe","Number","Professional, business","4 nights or over","Slovenia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","1 night or over","Croatia","279,343",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","1 night or over","Slovenia","114,000",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","From 1 to 3 nights","Croatia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","4 nights or over","Croatia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","4 nights or over","Slovenia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Croatia","184,487",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","1 night or over","Slovenia","58,000",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","From 1 to 3 nights","Croatia","60,886",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","From 1 to 3 nights","Slovenia","38,000",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","4 nights or over","Croatia","123,601",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Personal reasons","4 nights or over","Slovenia","20,000",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Professional, business","1 night or over","Croatia","94,856",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Professional, business","1 night or over","Slovenia","56,000",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Professional, business","4 nights or over","Croatia",":",""
"2011","Germany (until 1990 former territory of the FRG)","Number","Professional, business","4 nights or over","Slovenia",":",""
"2011","Croatia","Number","Total","1 night or over","Croatia",":",""
"2011","Croatia","Number","Total","1 night or over","Slovenia",":",""
"2011","Croatia","Number","Total","From 1 to 3 nights","Croatia",":",""
"2011","Croatia","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2011","Croatia","Number","Total","4 nights or over","Croatia",":",""
"2011","Croatia","Number","Total","4 nights or over","Slovenia",":",""
"2011","Croatia","Number","Personal reasons","1 night or over","Croatia",":",""
"2011","Croatia","Number","Personal reasons","1 night or over","Slovenia",":",""
"2011","Croatia","Number","Personal reasons","From 1 to 3 nights","Croatia",":",""
"2011","Croatia","Number","Personal reasons","From 1 to 3 nights","Slovenia",":",""
"2011","Croatia","Number","Personal reasons","4 nights or over","Croatia",":",""
"2011","Croatia","Number","Personal reasons","4 nights or over","Slovenia",":",""
"2011","Croatia","Number","Professional, business","1 night or over","Croatia",":",""
"2011","Croatia","Number","Professional, business","1 night or over","Slovenia",":",""
"2011","Croatia","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2011","Croatia","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2011","Croatia","Number","Professional, business","4 nights or over","Croatia",":",""
"2011","Croatia","Number","Professional, business","4 nights or over","Slovenia",":",""
"2011","Italy","Number","Total","1 night or over","Croatia","282,557",""
"2011","Italy","Number","Total","1 night or over","Slovenia","158,000",""
"2011","Italy","Number","Total","From 1 to 3 nights","Croatia",":",""
"2011","Italy","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2011","Italy","Number","Total","4 nights or over","Croatia",":",""
"2011","Italy","Number","Total","4 nights or over","Slovenia",":",""
"2011","Italy","Number","Personal reasons","1 night or over","Croatia","181,553",""
"2011","Italy","Number","Personal reasons","1 night or over","Slovenia","122,000",""
"2011","Italy","Number","Personal reasons","From 1 to 3 nights","Croatia","94,285",""
"2011","Italy","Number","Personal reasons","From 1 to 3 nights","Slovenia","51,000",""
"2011","Italy","Number","Personal reasons","4 nights or over","Croatia","87,268",""
"2011","Italy","Number","Personal reasons","4 nights or over","Slovenia","71,000",""
"2011","Italy","Number","Professional, business","1 night or over","Croatia","101,004",""
"2011","Italy","Number","Professional, business","1 night or over","Slovenia","36,000",""
"2011","Italy","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2011","Italy","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2011","Italy","Number","Professional, business","4 nights or over","Croatia",":",""
"2011","Italy","Number","Professional, business","4 nights or over","Slovenia",":",""
"2011","Slovenia","Number","Total","1 night or over","Croatia","312,494",""
"2011","Slovenia","Number","Total","1 night or over","Slovenia",":",""
"2011","Slovenia","Number","Total","From 1 to 3 nights","Croatia",":",""
"2011","Slovenia","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2011","Slovenia","Number","Total","4 nights or over","Croatia",":",""
"2011","Slovenia","Number","Total","4 nights or over","Slovenia",":",""
"2011","Slovenia","Number","Personal reasons","1 night or over","Croatia","212,660",""
"2011","Slovenia","Number","Personal reasons","1 night or over","Slovenia",":",""
"2011","Slovenia","Number","Personal reasons","From 1 to 3 nights","Croatia","147,626",""
"2011","Slovenia","Number","Personal reasons","From 1 to 3 nights","Slovenia",":",""
"2011","Slovenia","Number","Personal reasons","4 nights or over","Croatia","65,034",""
"2011","Slovenia","Number","Personal reasons","4 nights or over","Slovenia",":",""
"2011","Slovenia","Number","Professional, business","1 night or over","Croatia","99,834",""
"2011","Slovenia","Number","Professional, business","1 night or over","Slovenia",":",""
"2011","Slovenia","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2011","Slovenia","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
"2011","Slovenia","Number","Professional, business","4 nights or over","Croatia",":",""
"2011","Slovenia","Number","Professional, business","4 nights or over","Slovenia",":",""
"2011","All countries of the world","Number","Total","1 night or over","Croatia",":",""
"2011","All countries of the world","Number","Total","1 night or over","Slovenia",":",""
"2011","All countries of the world","Number","Total","From 1 to 3 nights","Croatia",":",""
"2011","All countries of the world","Number","Total","From 1 to 3 nights","Slovenia",":",""
"2011","All countries of the world","Number","Total","4 nights or over","Croatia",":",""
"2011","All countries of the world","Number","Total","4 nights or over","Slovenia",":",""
"2011","All countries of the world","Number","Personal reasons","1 night or over","Croatia",":",""
"2011","All countries of the world","Number","Personal reasons","1 night or over","Slovenia",":",""
"2011","All countries of the world","Number","Personal reasons","From 1 to 3 nights","Croatia",":",""
"2011","All countries of the world","Number","Personal reasons","From 1 to 3 nights","Slovenia",":",""
"2011","All countries of the world","Number","Personal reasons","4 nights or over","Croatia","3,180,916",""
"2011","All countries of the world","Number","Personal reasons","4 nights or over","Slovenia","1,790,000",""
"2011","All countries of the world","Number","Professional, business","1 night or over","Croatia",":",""
"2011","All countries of the world","Number","Professional, business","1 night or over","Slovenia",":",""
"2011","All countries of the world","Number","Professional, business","From 1 to 3 nights","Croatia",":",""
"2011","All countries of the world","Number","Professional, business","From 1 to 3 nights","Slovenia",":",""
